HTNO,STUDENT_NAME,SUB_CODE,SUB_NAME,MARKS,MARKS_TOT,SEM,BATCH
18XJ1A0111,RAM,ES208,Mechanics ,42,100,3,2018
18XJ1A0111,RAM,ES209,Signals & Systems,34,60,3,2018
18XJ1A0111,RAM,ES210,Data Structures ,56,60,3,2018
18XJ1A0111,RAM,PH202,Physics - II,93,100,3,2018
18XJ1A0111,RAM,MA203,Mathematics - III,84,100,3,2018
18XJ1A0111,RAM,CS201,Discrete Mathematical Structures,16,20,3,2018
18XJ1A0222,SURESH,ES208,Mechanics ,83,100,3,2018
18XJ1A0222,SURESH,ES209,Signals & Systems,43,60,3,2018
18XJ1A0222,SURESH,ES210,Data Structures ,36,60,3,2018
18XJ1A0222,SURESH,PH202,Physics - II,85,100,3,2018
18XJ1A0222,SURESH,MA203,Mathematics - III,70,100,3,2018
18XJ1A0222,SURESH,CS201,Discrete Mathematical Structures,15,20,3,2018
18XJ1A0333,RAMESH,ES208,Mechanics ,50,100,3,2018
18XJ1A0333,RAMESH,ES209,Signals & Systems,26,60,3,2018
18XJ1A0333,RAMESH,ES210,Data Structures ,57,60,3,2018
18XJ1A0333,RAMESH,PH202,Physics - II,92,100,3,2018
18XJ1A0333,RAMESH,MA203,Mathematics - III,57,100,3,2018
18XJ1A0333,RAMESH,CS201,Discrete Mathematical Structures,10,20,3,2018
,,,,,,,
